month_day,historic_norm_c,sample_count,reference_period,geography,weighting,grid_selection
10-11,14.45,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-12,14.29,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-13,14.1,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-14,13.91,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-15,13.71,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-16,13.54,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-17,13.39,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-18,13.23,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-19,13.03,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-20,12.8,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-21,12.58,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-22,12.34,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-23,12.13,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-24,11.96,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-25,11.79,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-26,11.59,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-27,11.41,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-28,11.24,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-29,11.04,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-30,10.85,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
10-31,10.67,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-01,10.47,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-02,10.29,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-03,10.12,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-04,9.95,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-05,9.77,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-06,9.58,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-07,9.39,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-08,9.21,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-09,9.03,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-10,8.84,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-11,8.66,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-12,8.49,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-13,8.31,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-14,8.14,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-15,7.98,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-16,7.79,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-17,7.6,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-18,7.43,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-19,7.31,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-20,7.21,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-21,7.09,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-22,6.99,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-23,6.88,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-24,6.74,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-25,6.59,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-26,6.45,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-27,6.33,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-28,6.21,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-29,6.13,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
11-30,6.06,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-01,5.98,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-02,5.89,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-03,5.81,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-04,5.7,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-05,5.59,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-06,5.51,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-07,5.46,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-08,5.39,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-09,5.31,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-10,5.24,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-11,5.18,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-12,5.11,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-13,5.02,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-14,4.96,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-15,4.91,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-16,4.86,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-17,4.81,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-18,4.77,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-19,4.73,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
12-20,4.64,930,1961-1990,Belgium,cosine_latitude,centre_inside_boundary
